Image_Name,Label
2018-6-24_front_dist_onroad_AnnArbor1-01891.jpg,"A traffic light shows green light ahead, a car is driving away, Safe to go straight."
2018-6-24_front_dist_onroad_AnnArbor1-02281.jpg,"A traffic light shows red light ahead, a car is holding, UnSafe to go straight."
2018-6-24_front_dist_onroad_AnnArbor1-02431.jpg,"A traffic light shows green light ahead, a car is driving away, Safe to go straight."
2018-6-24_front_dist_onroad_AnnArbor1-03241.jpg,"A traffic light shows green light ahead, a car is driving forward, Safe to go straight."
2018-6-24_front_dist_onroad_AnnArbor1-05191.jpg,"A car is moving forward, a pedestrian is crossing the street, Unsafe to go straight."
2018-6-24_front_dist_onroad_AnnArbor1-05911.jpg,"A traffic light shows red light ahead, a car is holding and a pedestrian is crossing the street, UnSafe to go straight."
2018-6-24_front_dist_onroad_AnnArbor1-07201.jpg,"Clear on road ahead, Safe to go straight."
2018-6-24_front_dist_onroad_AnnArbor1-07801.jpg,"Clear on road ahead, Safe to go straight."
2018-6-24_front_dist_onroad_AnnArbor1-07831.jpg,"Clear on road ahead, Safe to go straight."
2018-6-24_front_dist_onroad_AnnArbor1-09001.jpg,"A stop sign is at the intersection, Stop, and then go stright."
2018-6-24_front_dist_onroad_AnnArbor1-09481.jpg,"A traffic light shows red light ahead, A car is holding ahead, Unsafe to go."
2018-6-24_front_dist_onroad_AnnArbor1-09601.jpg,"A traffic light shows green light ahead, A car is driving slowly, Safe to go in low speed,."
2018-6-24_front_dist_onroad_AnnArbor1-09931.jpg,"A traffic light shows green light ahead, A car is driving away, Safe to go."
2018-6-24_front_dist_onroad_AnnArbor1-10021.jpg,"A traffic light shows green light ahead, A car is driving away, Safe to turn right."
2018-6-24_front_dist_onroad_AnnArbor1-10231.jpg,"A car is moving slowly ahead, Safe to go in low speed."
2019-02-03-front_dist_onroad_AnnArbor-4-0339.jpg,"Clear on road ahead, Safe to go straight."
2019-02-03-front_dist_onroad_AnnArbor-4-0375.jpg,"Clear on road ahead, Safe to go straight."
2019-02-03-front_dist_onroad_AnnArbor-4-0441.jpg,"A stop sign is at the intersection, Stop, and then go stright."
2019-02-03-front_dist_onroad_AnnArbor-4-0605.jpg,"Clear on road ahead, Safe to go straight."
2019-02-03-front_dist_onroad_AnnArbor-4-0725.jpg,"A pedestrain is crossing the street, Slow down and hold."
2019-02-03-front_dist_onroad_AnnArbor-4-0841.jpg,"Clear on road ahead, Safe to go straight."
2019-02-03-front_dist_onroad_AnnArbor-4-0973.jpg,"Clear on road ahead, Safe to go straight."
2019-02-03-front_dist_onroad_AnnArbor-4-1121.jpg,"A stop sign is at the intersection, Slow down."
2019-02-03-front_dist_onroad_AnnArbor-4-1156.jpg,"A stop sign is at the intersection, Slow down."
2019-02-03-front_dist_onroad_AnnArbor-4-1184.jpg,"A stop sign is at the intersection, Slow down."
2019-02-03-front_dist_onroad_AnnArbor-4-1415.jpg,"Clear on road ahead, Safe to go straight."
2019-02-03-front_dist_onroad_AnnArbor-4-1454.jpg,"Clear on road ahead, Safe to go straight."
2019-02-03-front_dist_onroad_AnnArbor-4-1593.jpg,"Closing to the intersection, Slow Down."
2019-02-03-front_dist_onroad_AnnArbor-4-1640.jpg,"A traffic light shows orange light ahead, Slow down and prepare to stop."
2019-02-03-front_dist_onroad_AnnArbor-4-1793.jpg,"A traffic light shows red light ahead, Stop and hold."
2019-02-03-front_dist_onroad_AnnArbor-4-1910.jpg,"A traffic light shows red light ahead, Stop and hold."
2019-02-03-front_dist_onroad_AnnArbor-4-1970.jpg,"A traffic light shows red light ahead and a pedestrain cross the street, Stop and hold."
2019-02-03-front_dist_onroad_AnnArbor-4-2026.jpg,"A traffic light shows red light ahead and a pedestrain cross the street, Stop and hold."
2019-02-03-front_dist_onroad_AnnArbor-4-2123.jpg,"A traffic light shows red light ahead and a pedestrain cross the street, Stop and hold."
2019-02-03-front_dist_onroad_AnnArbor-4-2463.jpg,"A traffic light shows red light ahead and a pedestrain cross the street, Stop and hold."
2019-02-03-front_dist_onroad_AnnArbor-4-2483.jpg,"A traffic light shows red light ahead and a pedestrain cross the street, Stop and hold."
2019-02-03-front_dist_onroad_AnnArbor-4-2823.jpg,"A traffic light shows red light ahead and a pedestrain cross the street, Stop and hold."
2019-02-03-front_dist_onroad_AnnArbor-4-2916.jpg,"A traffic light shows red light ahead and a pedestrain cross the street, Stop and hold."
2019-02-03-front_dist_onroad_AnnArbor-4-3236.jpg,"A traffic light shows red light ahead and a pedestrain cross the street, Stop and hold."
2019-02-03-front_dist_onroad_AnnArbor-4-3318.jpg,"A traffic light shows red light ahead and a pedestrain cross the street, Stop and hold."
2019-02-03-front_dist_onroad_AnnArbor-4-3624.jpg,"A traffic light shows green light ahead, Safe to go in low speed."
2019-02-03-front_dist_onroad_AnnArbor-4-3750.jpg,"Many pedestrains are crossing street, Slow down and hold, unsafe to go."
2019-02-03-front_dist_onroad_AnnArbor-4-3763.jpg,"Many pedestrains are crossing street, Slow down and hold, unsafe to go."
2019-02-03-front_dist_onroad_AnnArbor-4-3826.jpg,"Many pedestrains are crossing street, Slow down and hold, unsafe to go."
2019-02-03-front_dist_onroad_AnnArbor-4-3936.jpg,"Clear on road ahead, Safe to go straight."
2019-02-03-front_dist_onroad_AnnArbor-4-4005.jpg,"Clear on road ahead, Safe to go straight."
2019-02-03-front_dist_onroad_AnnArbor-4-4109.jpg,"A car is moving slowly ahead, Safe to go in low speed."
2019-02-03-front_dist_onroad_AnnArbor-4-4240.jpg,"A car is breaking ahead, Slow down and ready to stop."
2018-6-24_front_dist_onroad_AnnArbor4-00061.jpg,"A stop sign is at the intersection, Slow down."
2018-6-24_front_dist_onroad_AnnArbor4-00871.jpg,"A stop sign is at the intersection, Slow down."
2018-6-24_front_dist_onroad_AnnArbor4-01321.jpg,"A car is moving slowly ahead, Safe to go in low speed."
2018-6-24_front_dist_onroad_AnnArbor4-01411.jpg,"A car stop ahead, Unsafe to go."
2018-6-24_front_dist_onroad_AnnArbor4-01471.jpg,"A car stop ahead, Unsafe to go."
2018-6-24_front_dist_onroad_AnnArbor4-01711.jpg,"A car is moving, Unsafe to go."
2018-6-24_front_dist_onroad_AnnArbor4-02341.jpg,"Clear on road ahead, Safe to turn right."
2018-6-24_front_dist_onroad_AnnArbor4-02821.jpg,"Clear on road ahead, Safe to go."
2018-6-24_front_dist_onroad_AnnArbor4-03241.jpg,"Clear on road ahead, Safe to go."
2018-6-24_front_dist_onroad_AnnArbor4-03301.jpg,"A traffic light shows green light ahead, a car is driving away, Safe to go straight."
2018-6-24_front_dist_onroad_AnnArbor4-03421.jpg,"A traffic light shows green light ahead, Safe to go straight."
2018-6-24_front_dist_onroad_AnnArbor4-04201.jpg,"A traffic light shows green light ahead, Safe to go straight."
2018-6-24_front_dist_onroad_AnnArbor4-04291.jpg,"A traffic light shows green light ahead, Safe to go straight."
2018-6-24_front_dist_onroad_AnnArbor4-04651.jpg,"A traffic light shows red light ahead and a pedestrain cross the street, Stop and hold."
2018-6-24_front_dist_onroad_AnnArbor4-04711.jpg,"A traffic light shows red light ahead and a pedestrain cross the street, Stop and hold."
2018-6-24_front_dist_onroad_AnnArbor4-05191.jpg,"A traffic light shows red light ahead and a pedestrain cross the street, Stop and hold."
2018-6-24_front_dist_onroad_AnnArbor4-05311.jpg,"A traffic light shows red light ahead and a pedestrain cross the street, Stop and hold."
2018-6-24_front_dist_onroad_AnnArbor4-05431.jpg,"A traffic light shows green light ahead, Safe to go straight."
2018-6-24_front_dist_onroad_AnnArbor4-06241.jpg,"Clear on road ahead, Safe to go straight."
2018-6-24_front_dist_onroad_AnnArbor4-06271.jpg,"Clear on road ahead, Safe to go straight."
2018-6-24_front_dist_onroad_AnnArbor4-06481.jpg,"A traffic light shows red light ahead and a pedestrain cross the street, Stop and hold."
2018-6-24_front_dist_onroad_AnnArbor4-07141.jpg,"A traffic light shows red light ahead and a pedestrain cross the street, Stop and hold."
2018-6-24_front_dist_onroad_AnnArbor4-07261.jpg,"A traffic light shows green light ahead, but pedestrains are crossing the street, Stop and hold."
